ano,neo_distribuidora,meses_com_dados,qtd_serv_realizado,qtd_fora_prazo,compensacao_rs,uc_ativa_media_ano,exposicao_uc_mes,taxa_fora_prazo,fora_prazo_por_100k_uc_mes,compensacao_rs_por_uc_mes,compensacao_media_por_transgressao_rs
2023,Neoenergia Brasília — NEOENERGIA DISTRIBUIÇÃO BRASÍLIA S.A.,12,652433,3034,2777969.71,1176820.0,14121840,0.0046502859297429,21.4844524509554,0.1967144302725423,915.6129564930784
2024,Neoenergia Brasília — NEOENERGIA DISTRIBUIÇÃO BRASÍLIA S.A.,12,542759,4084,6817583.02,1185877.5,14230530,0.0075245182484307,28.69886082949827,0.4790814551531109,1669.339622918707
2025,Neoenergia Brasília — NEOENERGIA DISTRIBUIÇÃO BRASÍLIA S.A.,12,549555,3035,4272767.3,1212703.6666666667,14552444,0.0055226501442075,20.85560336119486,0.2936116641300939,1407.8310708401975
2023,Neoenergia Coelba — COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA,12,68708813,35045,19076328.16,6617578.166666667,79410938,0.0005100510177639,44.13120016287933,0.2402229294911489,544.338084177486
2024,Neoenergia Coelba — COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA,12,72185466,28707,41095381.8,6762796.833333333,81153562,0.0003976839326631,35.37367836053826,0.5063903639867342,1431.545678754311
2025,Neoenergia Coelba — COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA,12,40075691,23697,35872530.09,6956267.166666667,83475206,0.0005913060862755,28.38807010551133,0.4297387429028926,1513.800484871503
2023,Neoenergia Cosern — COMPANHIA ENERGÉTICA DO RIO GRANDE DO NORTE,12,16441663,6835,1865132.675445803,1576295.75,18915549,0.0004157122062409,36.134293538083405,0.0986031478888507,272.879689165443
2024,Neoenergia Cosern — COMPANHIA ENERGÉTICA DO RIO GRANDE DO NORTE,12,17666873,3874,3118335.6222180594,1605168.1666666667,19262018,0.0002192804578376,20.112119093648445,0.1618903908312233,804.9394997981568
2025,Neoenergia Cosern — COMPANHIA ENERGÉTICA DO RIO GRANDE DO NORTE,12,5513087,1840,1180588.79773975,1634496.4166666667,19613957,0.0003337513084774,9.381074915173924,0.0601912606283245,641.6243465976902
2023,Neoenergia Elektro — ELEKTRO REDES S.A.,12,102192822,2610,1361347.65,2952227.4166666665,35426729,2.553995426410673e-05,7.367318614145834,0.0384271336481558,521.5891379310344
2024,Neoenergia Elektro — ELEKTRO REDES S.A.,12,50085158,1696,350467.92,3007205.583333333,36086467,3.386232703908012e-05,4.69982278952384,0.0097118933809729,206.64382075471696
2025,Neoenergia Elektro — ELEKTRO REDES S.A.,12,44924879,734,502892.99,3061480.9166666665,36737771,1.6338385686024888e-05,1.99794375113286,0.0136887180770983,685.1403133514987
2023,Neoenergia Pernambuco — COMPANHIA ENERGÉTICA DE PERNAMBUCO,12,36100762,20333,10499861.71,4017691.1666666665,48212294,0.0005632291085711,42.17389033593797,0.2177839061132415,516.3951069689667
2024,Neoenergia Pernambuco — COMPANHIA ENERGÉTICA DE PERNAMBUCO,12,32550577,10914,11363770.79,4100319.5833333335,49203835,0.0003352935955636,22.18119786801171,0.2309529488910773,1041.2104443833607
2025,Neoenergia Pernambuco — COMPANHIA ENERGÉTICA DE PERNAMBUCO,12,1481135,8895,6894282.01,4184413.0833333335,50212957,0.0060055295432219,17.714551246205236,0.137300856629495,775.0738628442945
